"z",""
801.499333560107,1033.72654906361
1066.07375020979,1025.66982322652
962.597991581618,1017.57350387636
776.064072597161,984.796674317768
694.35487993727,953.509921260657
717.026964818782,949.298318831207
777.275189021031,910.980065439967
479.099845228084,895.881444917332
457.379110244184,893.715678603933
793.04942081142,863.167861883556
706.656492312847,860.969892810286
518.135826532464,856.567665442798
253.419094989775,847.738228815221
617.94292251832,832.207623339032
728.078556999929,829.980851190218
911.386576560178,1031.74565470124
1141.02873667964,1025.70798944584
1132.44198475973,1017.62307922502
811.828884721324,1009.49871222648
473.796157510142,999.288099847027
467.525286847258,997.238659300303
527.909432562651,993.132489844284
741.45369786526,986.955072335205
844.562709675377,970.376162474953
647.841096606707,962.029502002239
745.619019107358,940.998282878151
767.470719783975,932.5207592852
731.820819876777,924.006545149693
863.400487706304,911.167150507155
887.162432021102,909.019377377504
861.064119424927,904.717130601517
588.987088228156,893.922685219392
567.266353244255,891.757184661869
570.300503824554,889.589493526281
837.9658,828.028941450661
1251.16437116125,1023.72803836345
1286.09662769147,1021.71090963664
1296.26403656014,1019.69130400026
741.726739607476,1003.44567871926
668.961647572407,1001.40392858765
596.370002803525,993.212532454383
698.613101202855,989.102248968249
772.200941347035,987.043474176618
928.844355704243,982.918678014103
1055.67631519081,972.564603256839
757.976731088315,960.060950491347
877.192683634992,934.799545254824
877.399518950288,932.679327731504
841.956454358386,922.043835452051
882.980886970835,913.494463578968
971.199753906535,902.75707883267
903.209705553708,878.93987429229
1177.13811657171,868.026849747071
733.276826858789,830.528071922031
837.9658,828.303706333476
1021.52221104179,1029.78998421563
1400.95300970135,1017.71192870384
932.80864124726,1003.50831341502
773.650620713618,999.428021997321
688.620765132961,995.337952355475
956.278305488079,983.009367867437
1100.77592322005,978.880482782187
1182.08602331592,972.669116845955
1059.3873172982,966.436203620751
1019.06673056016,947.60933987894
1041.73881544167,943.399722713393
982.295327406795,928.592867564806
904.789666884802,894.328773649523
846.853593997099,892.16823023102
930.643655337544,879.158825999729
1160.87490983893,872.624718788959
676.867141978489,846.295988756033
616.910391800448,844.088250768411
1449.62762331289,1019.76752064772
1479.82031758076,1013.71106683619
1215.10358603807,1005.60119162646
1244.8021728682,974.840507602866
1275.86030232635,970.697928643552
1070.28140308138,947.74335780209
1135.5130944521,941.433468234958
1054.21790574061,935.102575996593
1076.06960641723,926.628939499993
1014.86034986326,913.849600072967
1195.2855589639,900.988585198483
1169.66300605818,898.837222332439
1024.41793434798,877.201786741746
1254.64918884936,870.668485821075
1369.33049806047,861.927244368326
1146.56468663325,822.174965446845
1083.08158276358,1027.82936400716
1193.21721724519,1025.82586876754
1562.48060703608,1015.77103072954
1018.11071895209,997.516352001716
854.044900673481,989.339299444265
